card_id,name,variant,set,rarity,artist,subtype,national_dex_numbers,supertype,release_date,price_source,purchase_url,tcgplayer_market,tcgplayer_low,tcgplayer_mid,tcgplayer_high,tcgplayer_holofoil_market,tcgplayer_reverse_holofoil_market,tcgplayer_1st_edition_normal_market,tcgplayer_1st_edition_holofoil_market,other_tcgplayer_variants_json,cardmarket_average_sell_price_usd,cardmarket_low_price_usd,cardmarket_trend_price_usd,cardmarket_reverse_holo_sell_usd,cardmarket_avg1_usd,cardmarket_avg7_usd,cardmarket_avg30_usd,cardmarket_reverse_holo_avg1_usd,cardmarket_reverse_holo_avg7_usd,cardmarket_reverse_holo_avg30_usd,eur_usd_rate_used,date
pl4-1,Charizard,holofoil,Arceus,Rare Holo,Kagemaru Himeno,Stage 2,6,Pokémon,2009/11/04,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/pl4-1,67.67,71.99,113.05,1999.96,,54.75,,,,28.9517,4.546800136566162,34.6466,37.2156,19.3239,19.1079,27.8719,63.6552,41.4327,33.0439,1.1367,2026-07-28
mcd19-4,Alolan Sandshrew,holofoil,McDonald's Collection 2019,,Shin Nagasawa,Basic,27,Pokémon,2019/10/15,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/mcd19-4,7.7,7.7,47.7,118.39,,,,,,1.6027,0.1704999953508377,2.2279,0.0,1.4777,2.0688,1.3413,1.58,2.6826,1.8983,1.1367,2026-07-28
sm115-3,Butterfree,normal,Hidden Fates,Rare,Masakazu Fukuda,Stage 2,12,Pokémon,2019/08/23,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/sm115-3,0.33,0.04,0.28,19.98,,0.82,,,,0.1932,0.022700000554323196,0.2046,0.8866,0.0227,0.2387,0.2273,1.3527,0.9094,1.0344,1.1367,2026-07-28
base3-4,Dragonite,1stEditionHolofoil,Fossil,Rare Holo,Kagemaru Himeno,Stage 2,149,Pokémon,1999/10/10,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/base3-4,461.75,599.99,963.69,999.99,,,,,"{""unlimitedHolofoil"": {""low"": 107.23, ""mid"": 149.99, ""high"": 1116.72, ""market"": 182.24, ""directLow"": null}}",131.3798,22.733999252319336,125.3894,0.0,113.6473,124.0708,133.028,92.8229,55.6528,55.1982,1.1367,2026-07-28
ex9-3,Exploud,normal,Emerald,Rare Holo,Hajime Kusajima,Stage 2,295,Pokémon,2005/05/01,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/ex9-3,17.9,20.0,22.13,263.0,24.97,50.0,,,,6.1154,125.03700256347656,13.7541,0.0,4.2626,11.3329,16.198,0.0,0.0,0.0,1.1367,2026-07-28
pop7-3,Latias,normal,POP Series 7,Rare,Daisuke Ito,Basic,380,Pokémon,2008/03/01,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/pop7-3,33.3,15.12,30.0,199.2,48.69,,,,,8.1501,0.5684000253677368,9.8438,2.2734,15.9138,9.9348,8.3206,2.2734,5.1038,3.3533,1.1367,2026-07-28
pop6-4,Pachirisu,normal,POP Series 6,Rare,Atsuko Nishida,Basic,417,Pokémon,2007/09/01,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/pop6-4,12.44,6.92,13.7,149.3,,,,,,1.3299,0.4887999892234802,1.8642,11.367,0.5684,2.1484,1.796,11.367,2.6258,1.2163,1.1367,2026-07-28
det1-4,Charmander,holofoil,Detective Pikachu,Common,MPC Film,Basic,4,Pokémon,2019/04/05,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/det1-4,0.71,0.23,0.73,50.0,,,,,,0.5911,0.022700000554323196,0.8071,1.1367,0.2955,0.557,0.5797,0.1705,0.7275,0.8184,1.1367,2026-07-28
ex4-2,Team Aqua's Crawdaunt,holofoil,Team Magma vs Team Aqua,Rare Holo,Nakaoka,Stage 1,342,Pokémon,2004/03/01,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/ex4-2,39.95,20.01,26.79,82.4,,20.0,,,,11.1056,1.1253000497817993,10.9123,11.3556,13.5836,10.253,10.7532,11.3556,11.2761,7.2294,1.1367,2026-07-28
hgss1-4,Gyarados,holofoil,HeartGold & SoulSilver,Rare Holo,Mitsuhiro Arita,Stage 1,130,Pokémon,2010/02/10,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/hgss1-4,61.04,28.0,54.94,540.42,,49.99,,,,15.766,0.5684000253677368,19.4148,11.1397,11.9353,14.1292,11.7648,6.7065,13.5381,9.662,1.1367,2026-07-28
xy1-2,M Venusaur-EX,holofoil,XY,Rare Holo EX,5ban Graphics,MEGA|EX,3,Pokémon,2014/02/05,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/xy1-2,21.53,14.0,21.58,292.8,,,,,,20.5856,5.001500129699707,19.3239,0.0,45.468,29.4178,18.0963,17.2778,11.8785,12.6401,1.1367,2026-07-28
ex8-2,Beautifly,normal,Deoxys,Rare Holo,Kagemaru Himeno,Stage 2,267,Pokémon,2005/02/01,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/ex8-2,12.21,16.25,32.49,44.89,18.47,30.37,,,,7.8319,2.273400068283081,7.4227,11.3556,3.9785,8.9345,7.3317,11.3556,11.5489,15.9365,1.1367,2026-07-28
bw5-2,Ivysaur,normal,Dark Explorers,Uncommon,sui,Stage 1,2,Pokémon,2012/05/09,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/bw5-2,9.75,6.54,9.75,96.95,,20.74,,,,2.7963,0.1704999953508377,3.2396,17.0505,5.4448,2.9327,3.7397,17.0505,12.2423,10.2189,1.1367,2026-07-28
dpp-DP02,Chimchar,holofoil,DP Black Star Promos,Promo,Kagemaru Himeno,Basic,390,Pokémon,2007/05/01,tcgplayer,https://prices.pokemontcg.io/tcgplayer/dpp-DP02,22.81,12.0,64.7,249.96,,,,,,,,,,,,,,,,,2026-07-28
sm2-2,Weepinbell,normal,Guardians Rising,Uncommon,Mina Nakai,Stage 1,70,Pokémon,2017/05/05,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/sm2-2,0.23,0.05,0.23,19.98,,0.35,,,,0.1137,0.022700000554323196,0.0909,0.3524,0.0909,0.1137,0.125,0.5684,0.3751,0.3751,1.1367,2026-07-28
pop4-2,Deoxys δ,normal,POP Series 4,Rare,Kouki Saitou,Basic,386,Pokémon,2006/08/01,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/pop4-2,50.25,69.98,130.0,422.88,100.66,,,,,21.7564,5.672100067138672,30.0884,54.5616,32.9075,17.9144,31.2138,54.5616,28.5539,12.1741,1.1367,2026-07-28
bw7-2,Gloom,normal,Boundaries Crossed,Uncommon,Atsuko Nishida,Stage 1,44,Pokémon,2012/11/07,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/bw7-2,0.42,0.1,0.42,19.98,,2.69,,,,0.2955,0.022700000554323196,0.4206,1.4777,0.5001,0.3069,0.2842,2.4666,1.3299,0.9776,1.1367,2026-07-28
xy4-2,Venomoth,normal,Phantom Forces,Rare,5ban Graphics,Stage 1,49,Pokémon,2014/11/05,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/xy4-2,0.73,0.2,0.65,24.99,,1.09,,,,0.6479,0.1023000031709671,0.5001,2.1256,0.6707,0.7275,0.6252,2.1484,2.8531,2.0347,1.1367,2026-07-28
col1-3,Dialga,holofoil,Call of Legends,Rare Holo,Ayaka Yoshida,Basic,483,Pokémon,2011/02/09,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/col1-3,34.37,9.75,30.48,163.1,,11.69,,,,11.7194,0.9093999862670898,9.4346,23.8366,9.0368,11.7194,8.2865,11.6512,16.0275,15.1863,1.1367,2026-07-28
ex12-4,Delcatty,holofoil,Legend Maker,Rare Holo,Naoyo Kimura,Stage 1,301,Pokémon,2006/02/01,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/ex12-4,14.37,13.5,30.0,359.5,,63.71,,,,8.1388,0.2842000126838684,6.5247,7.0021,5.6721,7.6273,7.8887,11.2533,9.7984,12.1968,1.1367,2026-07-28
bw11-2,Tangrowth,normal,Legendary Treasures,Rare,Kagemaru Himeno,Stage 1,465,Pokémon,2013/11/06,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/bw11-2,0.36,0.1,0.36,19.98,,0.88,,,,0.6025,0.0568000003695488,0.5911,2.2734,0.2273,0.6025,0.4547,2.8304,5.2402,2.5235,1.1367,2026-07-28
pl1-4,Delcatty,holofoil,Platinum,Rare Holo,Mitsuhiro Arita,Stage 1,301,Pokémon,2009/02/11,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/pl1-4,10.2,4.99,9.14,91.0,,8.06,,,,2.4098,1.045799970626831,2.0802,5.7062,4.49,3.2964,3.8989,4.5354,5.297,3.7625,1.1367,2026-07-28
swsh35-3,Kakuna,normal,Champion's Path,Common,Miki Tanaka,Stage 1,14,Pokémon,2020/09/25,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/swsh35-3,0.15,0.01,0.19,2.99,,0.28,,,,0.0796,0.022700000554323196,0.0682,0.3069,0.1137,0.0455,0.0682,0.2046,0.2842,0.2728,1.1367,2026-07-28
base5-2,Dark Arbok,1stEditionHolofoil,Team Rocket,Rare Holo,Mitsuhiro Arita,Stage 1,24,Pokémon,2000/04/24,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/base5-2,61.55,40.25,69.99,799.8,,,,,"{""unlimitedHolofoil"": {""low"": 9.0, ""mid"": 14.0, ""high"": 200.0, ""market"": 17.33, ""directLow"": 130.7}}",13.4244,1.0230000019073486,14.3338,0.0,13.3335,12.4014,13.8336,15.3455,8.1615,9.4687,1.1367,2026-07-28
