card_id,name,set,rarity,release_date,source,variant,price,avg1,avg7,avg30,date
sma-SV50,Ho-Oh-GX,Hidden Fates Shiny Vault,Rare Shiny GX,2019/08/23,tcgplayer,holofoil,40.6,,,,2026-07-28
sma-SV50,Ho-Oh-GX,Hidden Fates Shiny Vault,Rare Shiny GX,2019/08/23,cardmarket,normal,26.2,24.5,26.45,26.23,2026-07-28
ex1-46,Swellow,Ruby & Sapphire,Uncommon,2003/07/01,tcgplayer,normal,1.27,,,,2026-07-28
ex1-46,Swellow,Ruby & Sapphire,Uncommon,2003/07/01,tcgplayer,reverseHolofoil,5.88,,,,2026-07-28
ex1-46,Swellow,Ruby & Sapphire,Uncommon,2003/07/01,cardmarket,normal,1.11,0.27,0.93,0.77,2026-07-28
ex7-55,Ekans,Team Rocket Returns,Common,2004/11/01,tcgplayer,normal,0.55,,,,2026-07-28
ex7-55,Ekans,Team Rocket Returns,Common,2004/11/01,tcgplayer,reverseHolofoil,44.99,,,,2026-07-28
ex7-55,Ekans,Team Rocket Returns,Common,2004/11/01,cardmarket,normal,0.33,0.35,0.24,0.23,2026-07-28
dp5-52,Bronzor,Majestic Dawn,Common,2008/05/01,tcgplayer,normal,0.27,,,,2026-07-28
dp5-52,Bronzor,Majestic Dawn,Common,2008/05/01,tcgplayer,reverseHolofoil,1.48,,,,2026-07-28
dp5-52,Bronzor,Majestic Dawn,Common,2008/05/01,cardmarket,normal,0.09,0.02,0.11,0.12,2026-07-28
swsh4-53,Blitzle,Vivid Voltage,Common,2020/11/13,tcgplayer,normal,0.05,,,,2026-07-28
