card_id,name,set,rarity,release_date,source,variant,price,avg1,avg7,avg30,date
xy8-52,Magnemite,BREAKthrough,Common,2015/11/04,tcgplayer,normal,0.18,,,,2026-07-28
xy8-52,Magnemite,BREAKthrough,Common,2015/11/04,tcgplayer,reverseHolofoil,0.61,,,,2026-07-28
xy8-52,Magnemite,BREAKthrough,Common,2015/11/04,cardmarket,normal,0.17,0.19,0.13,0.15,2026-07-28
base4-56,Persian,Base Set 2,Uncommon,2000/02/24,tcgplayer,normal,2.62,,,,2026-07-28
base4-56,Persian,Base Set 2,Uncommon,2000/02/24,cardmarket,normal,2.53,2.75,2.65,1.99,2026-07-28
ecard3-22,Nidoqueen,Skyridge,Rare,2003/05/12,tcgplayer,normal,29.51,,,,2026-07-28
ecard3-22,Nidoqueen,Skyridge,Rare,2003/05/12,tcgplayer,reverseHolofoil,88.84,,,,2026-07-28
ecard3-22,Nidoqueen,Skyridge,Rare,2003/05/12,cardmarket,normal,13.49,41.0,11.7,10.09,2026-07-28
swsh1-57,Drizzile,Sword & Shield,Uncommon,2020/02/07,tcgplayer,normal,0.2,,,,2026-07-28
swsh1-57,Drizzile,Sword & Shield,Uncommon,2020/02/07,tcgplayer,reverseHolofoil,0.42,,,,2026-07-28
swsh1-57,Drizzile,Sword & Shield,Uncommon,2020/02/07,cardmarket,normal,0.11,0.1,0.11,0.09,2026-07-28
dp4-50,Purugly,Great Encounters,Uncommon,2008/02/01,tcgplayer,normal,0.42,,,,2026-07-28
dp4-50,Purugly,Great Encounters,Uncommon,2008/02/01,tcgplayer,reverseHolofoil,1.76,,,,2026-07-28
dp4-50,Purugly,Great Encounters,Uncommon,2008/02/01,cardmarket,normal,0.17,0.45,0.18,0.2,2026-07-28
bw4-61,Elgyem,Next Destinies,Common,2012/02/08,tcgplayer,normal,0.2,,,,2026-07-28
bw4-61,Elgyem,Next Destinies,Common,2012/02/08,tcgplayer,reverseHolofoil,0.84,,,,2026-07-28
bw4-61,Elgyem,Next Destinies,Common,2012/02/08,cardmarket,normal,0.16,0.17,0.17,0.21,2026-07-28
ex2-51,Quilava,Sandstorm,Uncommon,2003/09/18,tcgplayer,normal,5.68,,,,2026-07-28
ex2-51,Quilava,Sandstorm,Uncommon,2003/09/18,tcgplayer,reverseHolofoil,34.99,,,,2026-07-28
ex2-51,Quilava,Sandstorm,Uncommon,2003/09/18,cardmarket,normal,1.56,1.5,1.59,1.41,2026-07-28
swshp-SWSH049,Dubwool V,SWSH Black Star Promos,Promo,2019/11/15,tcgplayer,holofoil,0.54,,,,2026-07-28
swshp-SWSH049,Dubwool V,SWSH Black Star Promos,Promo,2019/11/15,cardmarket,normal,1.06,2.0,0.89,0.92,2026-07-28
sm1-54,Zubat,Sun & Moon,Common,2017/02/03,tcgplayer,normal,0.07,,,,2026-07-28
sm1-54,Zubat,Sun & Moon,Common,2017/02/03,tcgplayer,reverseHolofoil,0.3,,,,2026-07-28
sm1-54,Zubat,Sun & Moon,Common,2017/02/03,cardmarket,normal,0.06,0.03,0.05,0.06,2026-07-28
bw8-56,Koffing,Plasma Storm,Common,2013/02/06,tcgplayer,normal,0.28,,,,2026-07-28
bw8-56,Koffing,Plasma Storm,Common,2013/02/06,tcgplayer,reverseHolofoil,0.94,,,,2026-07-28
bw8-56,Koffing,Plasma Storm,Common,2013/02/06,cardmarket,normal,0.15,0.15,0.1,0.13,2026-07-28
bw9-57,Cofagrigus,Plasma Freeze,Rare,2013/05/08,tcgplayer,normal,1.48,,,,2026-07-28
bw9-57,Cofagrigus,Plasma Freeze,Rare,2013/05/08,tcgplayer,reverseHolofoil,10.0,,,,2026-07-28
bw9-57,Cofagrigus,Plasma Freeze,Rare,2013/05/08,cardmarket,normal,0.87,1.02,1.02,0.82,2026-07-28
ecard1-49,Golem,Expedition Base Set,Rare,2002/09/15,tcgplayer,normal,10.76,,,,2026-07-28
ecard1-49,Golem,Expedition Base Set,Rare,2002/09/15,tcgplayer,reverseHolofoil,25.4,,,,2026-07-28
ecard1-49,Golem,Expedition Base Set,Rare,2002/09/15,cardmarket,normal,4.74,2.0,5.6,4.98,2026-07-28
xy1-57,Gourgeist,XY,Rare Holo,2014/02/05,tcgplayer,holofoil,2.97,,,,2026-07-28
